Angle(deg),BER_Bound_Exact_Integral
3.91,6.61756525e-04
3.92,6.60071430e-04
3.93,6.58391892e-04
3.94,6.56717895e-04
3.95,6.55049420e-04
3.96,6.53386450e-04
3.97,6.51728967e-04
3.98,6.50076952e-04
3.99,6.48430389e-04
4.00,6.46789259e-04
4.01,6.45153546e-04
4.02,6.43523231e-04
4.03,6.41898297e-04
4.04,6.40278726e-04
4.05,6.38664501e-04
4.06,6.37055605e-04
4.07,6.35452020e-04
4.08,6.33853729e-04
4.09,6.32260715e-04
4.10,6.30672960e-04
4.11,6.29090447e-04
4.12,6.27513160e-04
4.13,6.25941080e-04
4.14,6.24374191e-04
4.15,6.22812477e-04
4.16,6.21255919e-04
4.17,6.19704502e-04
4.18,6.18158207e-04
4.19,6.16617020e-04
4.20,6.15080921e-04
4.21,6.13549896e-04
4.22,6.12023927e-04
4.23,6.10502998e-04
4.24,6.08987091e-04
4.25,6.07476191e-04
4.26,6.05970281e-04
4.27,6.04469345e-04
4.28,6.02973365e-04
4.29,6.01482326e-04
4.30,5.99996212e-04
4.31,5.98515006e-04
4.32,5.97038691e-04
4.33,5.95567252e-04
4.34,5.94100673e-04
4.35,5.92638938e-04
4.36,5.91182029e-04
4.37,5.89729932e-04
4.38,5.88282631e-04
4.39,5.86840109e-04
4.40,5.85402351e-04
4.41,5.83969340e-04
4.42,5.82541062e-04
4.43,5.81117500e-04
4.44,5.79698638e-04
4.45,5.78284462e-04
4.46,5.76874955e-04
4.47,5.75470102e-04
4.48,5.74069888e-04
4.49,5.72674296e-04
4.50,5.71283312e-04
4.51,5.69896920e-04
4.52,5.68515105e-04
4.53,5.67137852e-04
4.54,5.65765145e-04
4.55,5.64396969e-04
4.56,5.63033310e-04
4.57,5.61674151e-04
4.58,5.60319478e-04
4.59,5.58969277e-04
4.60,5.57623531e-04
4.61,5.56282226e-04
4.62,5.54945348e-04
4.63,5.53612881e-04
4.64,5.52284811e-04
4.65,5.50961123e-04
4.66,5.49641803e-04
4.67,5.48326835e-04
4.68,5.47016205e-04
4.69,5.45709899e-04
4.70,5.44407902e-04
4.71,5.43110200e-04
4.72,5.41816778e-04
4.73,5.40527622e-04
4.74,5.39242717e-04
4.75,5.37962050e-04
4.76,5.36685607e-04
4.77,5.35413372e-04
4.78,5.34145333e-04
4.79,5.32881474e-04
4.80,5.31621782e-04
4.81,5.30366243e-04
4.82,5.29114843e-04
4.83,5.27867568e-04
4.84,5.26624405e-04
4.85,5.25385338e-04
4.86,5.24150356e-04
4.87,5.22919444e-04
4.88,5.21692588e-04
4.89,5.20469775e-04
4.90,5.19250991e-04
4.91,5.18036222e-04
4.92,5.16825456e-04
4.93,5.15618679e-04
4.94,5.14415878e-04
4.95,5.13217038e-04
4.96,5.12022147e-04
4.97,5.10831192e-04
4.98,5.09644160e-04
4.99,5.08461036e-04
5.00,5.07281809e-04
5.01,5.06106465e-04
5.02,5.04934992e-04
5.03,5.03767375e-04
5.04,5.02603603e-04
5.05,5.01443662e-04
5.06,5.00287539e-04
5.07,4.99135223e-04
5.08,4.97986699e-04
5.09,4.96841956e-04
5.10,4.95700981e-04
5.11,4.94563761e-04
5.12,4.93430284e-04
5.13,4.92300536e-04
5.14,4.91174507e-04
5.15,4.90052182e-04
5.16,4.88933551e-04
5.17,4.87818600e-04
5.18,4.86707318e-04
5.19,4.85599692e-04
5.20,4.84495709e-04
5.21,4.83395359e-04
5.22,4.82298628e-04
5.23,4.81205505e-04
5.24,4.80115978e-04
5.25,4.79030035e-04
5.26,4.77947663e-04
5.27,4.76868851e-04
5.28,4.75793588e-04
5.29,4.74721861e-04
5.30,4.73653659e-04
5.31,4.72588970e-04
5.32,4.71527782e-04
5.33,4.70470084e-04
5.34,4.69415865e-04
5.35,4.68365112e-04
5.36,4.67317815e-04
5.37,4.66273962e-04
5.38,4.65233542e-04
5.39,4.64196543e-04
5.40,4.63162954e-04
5.41,4.62132764e-04
5.42,4.61105962e-04
5.43,4.60082536e-04
5.44,4.59062476e-04
5.45,4.58045771e-04
5.46,4.57032409e-04
5.47,4.56022380e-04
5.48,4.55015672e-04
5.49,4.54012276e-04
5.50,4.53012180e-04
5.51,4.52015373e-04
5.52,4.51021845e-04
5.53,4.50031585e-04
5.54,4.49044582e-04
5.55,4.48060826e-04
5.56,4.47080307e-04
5.57,4.46103014e-04
5.58,4.45128936e-04
5.59,4.44158063e-04
5.60,4.43190385e-04
5.61,4.42225892e-04
5.62,4.41264573e-04
5.63,4.40306418e-04
5.64,4.39351417e-04
5.65,4.38399560e-04
5.66,4.37450837e-04
5.67,4.36505238e-04
5.68,4.35562753e-04
5.69,4.34623372e-04
5.70,4.33687086e-04
5.71,4.32753883e-04
5.72,4.31823756e-04
5.73,4.30896693e-04
5.74,4.29972686e-04
5.75,4.29051724e-04
5.76,4.28133799e-04
5.77,4.27218900e-04
5.78,4.26307018e-04
5.79,4.25398145e-04
5.80,4.24492269e-04
5.81,4.23589383e-04
5.82,4.22689477e-04
5.83,4.21792541e-04
5.84,4.20898567e-04
5.85,4.20007545e-04
5.86,4.19119467e-04
5.87,4.18234322e-04
5.88,4.17352104e-04
5.89,4.16472801e-04
5.90,4.15596406e-04
5.91,4.14722910e-04
5.92,4.13852304e-04
5.93,4.12984579e-04
5.94,4.12119727e-04
5.95,4.11257739e-04
5.96,4.10398606e-04
5.97,4.09542320e-04
5.98,4.08688873e-04
5.99,4.07838256e-04
6.00,4.06990461e-04
6.01,4.06145479e-04
6.02,4.05303303e-04
6.03,4.04463923e-04
6.04,4.03627333e-04
6.05,4.02793524e-04
6.06,4.01962487e-04
6.07,4.01134215e-04
6.08,4.00308701e-04
6.09,3.99485935e-04
6.10,3.98665911e-04
6.11,3.97848621e-04
6.12,3.97034057e-04
6.13,3.96222211e-04
6.14,3.95413075e-04
6.15,3.94606643e-04
6.16,3.93802907e-04
6.17,3.93001859e-04
6.18,3.92203493e-04
6.19,3.91407800e-04
6.20,3.90614774e-04
6.21,3.89824408e-04
6.22,3.89036694e-04
6.23,3.88251625e-04
6.24,3.87469195e-04
6.25,3.86689396e-04
6.26,3.85912222e-04
6.27,3.85137666e-04
6.28,3.84365721e-04
6.29,3.83596381e-04
6.30,3.82829639e-04
6.31,3.82065488e-04
6.32,3.81303923e-04
6.33,3.80544936e-04
6.34,3.79788522e-04
6.35,3.79034674e-04
6.36,3.78283386e-04
6.37,3.77534652e-04
6.38,3.76788466e-04
6.39,3.76044822e-04
6.40,3.75303714e-04
6.41,3.74565136e-04
6.42,3.73829083e-04
6.43,3.73095549e-04
6.44,3.72364529e-04
6.45,3.71636016e-04
6.46,3.70910006e-04
6.47,3.70186494e-04
6.48,3.69465473e-04
6.49,3.68746939e-04
6.50,3.68030887e-04
6.51,3.67317311e-04
6.52,3.66606208e-04
6.53,3.65897571e-04
6.54,3.65191397e-04
6.55,3.64487681e-04
6.56,3.63786417e-04
6.57,3.63087603e-04
6.58,3.62391232e-04
6.59,3.61697302e-04
6.60,3.61005808e-04
6.61,3.60316745e-04
6.62,3.59630110e-04
6.63,3.58945899e-04
6.64,3.58264109e-04
6.65,3.57584735e-04
6.66,3.56907774e-04
6.67,3.56233222e-04
6.68,3.55561077e-04
6.69,3.54891335e-04
6.70,3.54223992e-04
6.71,3.53559047e-04
6.72,3.52896495e-04
6.73,3.52236335e-04
6.74,3.51578563e-04
6.75,3.50923178e-04
6.76,3.50270176e-04
6.77,3.49619555e-04
6.78,3.48971314e-04
6.79,3.48325450e-04
6.80,3.47681962e-04
6.81,3.47040847e-04
6.82,3.46402104e-04
6.83,3.45765732e-04
6.84,3.45131729e-04
6.85,3.44500095e-04
6.86,3.43870827e-04
6.87,3.43243926e-04
6.88,3.42619391e-04
6.89,3.41997220e-04
6.90,3.41377414e-04
6.91,3.40759973e-04
6.92,3.40144896e-04
6.93,3.39532183e-04
6.94,3.38921836e-04
6.95,3.38313853e-04
6.96,3.37708236e-04
6.97,3.37104986e-04
6.98,3.36504103e-04
6.99,3.35905589e-04
7.00,3.35309445e-04
7.01,3.34715673e-04
7.02,3.34124274e-04
7.03,3.33535250e-04
7.04,3.32948603e-04
7.05,3.32364336e-04
7.06,3.31782452e-04
7.07,3.31202952e-04
7.08,3.30625840e-04
7.09,3.30051120e-04
7.10,3.29478793e-04
7.11,3.28908864e-04
7.12,3.28341337e-04
7.13,3.27776216e-04
7.14,3.27213504e-04
7.15,3.26653207e-04
7.16,3.26095329e-04
7.17,3.25539874e-04
7.18,3.24986848e-04
7.19,3.24436256e-04
7.20,3.23888104e-04
7.21,3.23342397e-04
7.22,3.22799142e-04
7.23,3.22258344e-04
7.24,3.21720009e-04
7.25,3.21184145e-04
7.26,3.20650758e-04
7.27,3.20119854e-04
7.28,3.19591442e-04
7.29,3.19065529e-04
7.30,3.18542121e-04
7.31,3.18021227e-04
7.32,3.17502854e-04
7.33,3.16987011e-04
7.34,3.16473705e-04
7.35,3.15962945e-04
7.36,3.15454738e-04
7.37,3.14949094e-04
7.38,3.14446021e-04
7.39,3.13945527e-04
7.40,3.13447621e-04
7.41,3.12952311e-04
7.42,3.12459606e-04
7.43,3.11969514e-04
7.44,3.11482044e-04
7.45,3.10997204e-04
7.46,3.10515001e-04
7.47,3.10035444e-04
7.48,3.09558540e-04
7.49,3.09084296e-04
7.50,3.08612720e-04
7.51,3.08143818e-04
7.52,3.07677596e-04
7.53,3.07214059e-04
7.54,3.06753213e-04
7.55,3.06295061e-04
7.56,3.05839608e-04
7.57,3.05386855e-04
7.58,3.04936806e-04
7.59,3.04489459e-04
7.60,3.04044816e-04
7.61,3.03602875e-04
7.62,3.03163633e-04
7.63,3.02727085e-04
7.64,3.02293226e-04
7.65,3.01862049e-04
7.66,3.01433544e-04
7.67,3.01007701e-04
7.68,3.00584505e-04
7.69,3.00163943e-04
7.70,2.99745996e-04
7.71,2.99330643e-04
7.72,2.98917863e-04
7.73,2.98507630e-04
7.74,2.98099914e-04
7.75,2.97694685e-04
7.76,2.97291907e-04
7.77,2.96891541e-04
7.78,2.96493547e-04
7.79,2.96097878e-04
7.80,2.95704483e-04
7.81,2.95313310e-04
7.82,2.94924299e-04
7.83,2.94537389e-04
7.84,2.94152512e-04
7.85,2.93769597e-04
7.86,2.93388566e-04
7.87,2.93009338e-04
7.88,2.92631826e-04
7.89,2.92255939e-04
7.90,2.91881579e-04
7.91,2.91508645e-04
7.92,2.91137029e-04
7.93,2.90766618e-04
7.94,2.90397294e-04
7.95,2.90028933e-04
7.96,2.89661409e-04
7.97,2.89294585e-04
7.98,2.88928325e-04
7.99,2.88562485e-04
8.00,2.88196916e-04
8.01,2.87831466e-04
8.02,2.87465977e-04
8.03,2.87100288e-04
8.04,2.86734235e-04
8.05,2.86367648e-04
8.06,2.86000357e-04
8.07,2.85632185e-04
8.08,2.85262957e-04
8.09,2.84892493e-04
8.10,2.84520610e-04
8.11,2.84147125e-04
8.12,2.83771859e-04
8.13,2.83394632e-04
8.14,2.83015306e-04
8.15,2.82634040e-04
8.16,2.82251039e-04
8.17,2.81866508e-04
8.18,2.81480654e-04
8.19,2.81093685e-04
8.20,2.80705805e-04
8.21,2.80317218e-04
8.22,2.79928122e-04
8.23,2.79538716e-04
8.24,2.79149194e-04
8.25,2.78759745e-04
8.26,2.78370556e-04
8.27,2.77981811e-04
8.28,2.77593689e-04
8.29,2.77206363e-04
8.30,2.76820002e-04
8.31,2.76434773e-04
8.32,2.76050835e-04
8.33,2.75668342e-04
8.34,2.75287446e-04
8.35,2.74908289e-04
8.36,2.74531014e-04
8.37,2.74155753e-04
8.38,2.73782636e-04
8.39,2.73411789e-04
8.40,2.73043329e-04
8.41,2.72677371e-04
8.42,2.72314025e-04
8.43,2.71953395e-04
8.44,2.71595581e-04
8.45,2.71240679e-04
8.46,2.70888779e-04
8.47,2.70539969e-04
8.48,2.70194329e-04
8.49,2.69851940e-04
8.50,2.69512875e-04
8.51,2.69177205e-04
8.52,2.68844997e-04
8.53,2.68516316e-04
8.54,2.68191220e-04
8.55,2.67869769e-04
8.56,2.67552016e-04
8.57,2.67238012e-04
8.58,2.66927806e-04
8.59,2.66621444e-04
8.60,2.66318969e-04
8.61,2.66020423e-04
8.62,2.65725843e-04
8.63,2.65435266e-04
8.64,2.65148727e-04
8.65,2.64866258e-04
8.66,2.64587887e-04
8.67,2.64313644e-04
8.68,2.64043555e-04
8.69,2.63777643e-04
8.70,2.63515932e-04
8.71,2.63258440e-04
8.72,2.63005187e-04
8.73,2.62756189e-04
8.74,2.62511461e-04
8.75,2.62271014e-04
8.76,2.62034861e-04
8.77,2.61803008e-04
8.78,2.61575463e-04
8.79,2.61352229e-04
8.80,2.61133308e-04
8.81,2.60918699e-04
8.82,2.60708399e-04
8.83,2.60502402e-04
8.84,2.60300698e-04
8.85,2.60103277e-04
8.86,2.59910122e-04
8.87,2.59721216e-04
8.88,2.59536536e-04
8.89,2.59356057e-04
8.90,2.59179749e-04
8.91,2.59007580e-04
8.92,2.58839509e-04
8.93,2.58675496e-04
