Angle(deg),f(R)
7.72,1.95875678e+06
7.73,1.94406440e+06
7.74,1.92950216e+06
7.75,1.91506874e+06
7.76,1.90076282e+06
7.77,1.88658312e+06
7.78,1.87252835e+06
7.79,1.85859724e+06
7.80,1.84478856e+06
7.81,1.83110105e+06
7.82,1.81753351e+06
7.83,1.80408471e+06
7.84,1.79075348e+06
7.85,1.77753862e+06
7.86,1.76443897e+06
7.87,1.75145338e+06
7.88,1.73858070e+06
7.89,1.72581981e+06
7.90,1.71316959e+06
7.91,1.70062894e+06
7.92,1.68819676e+06
7.93,1.67587198e+06
7.94,1.66365354e+06
7.95,1.65154037e+06
7.96,1.63953144e+06
7.97,1.62762572e+06
7.98,1.61582218e+06
7.99,1.60411982e+06
8.00,1.59251764e+06
8.01,1.58101465e+06
8.02,1.56960989e+06
8.03,1.55830238e+06
8.04,1.54709118e+06
8.05,1.53597533e+06
8.06,1.52495392e+06
8.07,1.51402601e+06
8.08,1.50319069e+06
8.09,1.49244707e+06
8.10,1.48179424e+06
8.11,1.47123134e+06
8.12,1.46075748e+06
8.13,1.45037180e+06
8.14,1.44007345e+06
8.15,1.42986159e+06
8.16,1.41973538e+06
8.17,1.40969399e+06
8.18,1.39973661e+06
8.19,1.38986242e+06
8.20,1.38007064e+06
8.21,1.37036047e+06
8.22,1.36073112e+06
8.23,1.35118183e+06
8.24,1.34171182e+06
8.25,1.33232035e+06
8.26,1.32300666e+06
8.27,1.31377001e+06
8.28,1.30460967e+06
8.29,1.29552491e+06
8.30,1.28651502e+06
8.31,1.27757929e+06
8.32,1.26871702e+06
8.33,1.25992750e+06
8.34,1.25121006e+06
8.35,1.24256401e+06
8.36,1.23398868e+06
8.37,1.22548341e+06
8.38,1.21704754e+06
8.39,1.20868042e+06
8.40,1.20038140e+06
8.41,1.19214984e+06
8.42,1.18398512e+06
8.43,1.17588660e+06
8.44,1.16785368e+06
8.45,1.15988575e+06
8.46,1.15198218e+06
8.47,1.14414240e+06
8.48,1.13636580e+06
8.49,1.12865180e+06
8.50,1.12099983e+06
8.51,1.11340930e+06
8.52,1.10587965e+06
8.53,1.09841031e+06
8.54,1.09100074e+06
8.55,1.08365038e+06
8.56,1.07635869e+06
8.57,1.06912513e+06
8.58,1.06194916e+06
8.59,1.05483026e+06
8.60,1.04776791e+06
8.61,1.04076158e+06
8.62,1.03381077e+06
8.63,1.02691497e+06
8.64,1.02007369e+06
8.65,1.01328641e+06
8.66,1.00655266e+06
8.67,9.99871950e+05
8.68,9.93243794e+05
8.69,9.86667720e+05
8.70,9.80143257e+05
8.71,9.73669937e+05
8.72,9.67247300e+05
8.73,9.60874890e+05
8.74,9.54552253e+05
8.75,9.48278943e+05
8.76,9.42054516e+05
8.77,9.35878534e+05
8.78,9.29750564e+05
8.79,9.23670175e+05
8.80,9.17636943e+05
8.81,9.11650446e+05
8.82,9.05710267e+05
8.83,8.99815995e+05
8.84,8.93967220e+05
8.85,8.88163539e+05
8.86,8.82404551e+05
8.87,8.76689860e+05
8.88,8.71019074e+05
8.89,8.65391804e+05
8.90,8.59807666e+05
8.91,8.54266280e+05
8.92,8.48767268e+05
8.93,8.43310257e+05
8.94,8.37894879e+05
8.95,8.32520766e+05
8.96,8.27187559e+05
8.97,8.21894897e+05
8.98,8.16642426e+05
8.99,8.11429794e+05
9.00,8.06256654e+05
9.01,8.01122661e+05
9.02,7.96027473e+05
9.03,7.90970754e+05
9.04,7.85952169e+05
9.05,7.80971386e+05
9.06,7.76028077e+05
9.07,7.71121918e+05
9.08,7.66252588e+05
9.09,7.61419767e+05
9.10,7.56623141e+05
9.11,7.51862398e+05
9.12,7.47137227e+05
9.13,7.42447324e+05
9.14,7.37792385e+05
9.15,7.33172109e+05
9.16,7.28586200e+05
9.17,7.24034362e+05
9.18,7.19516305e+05
9.19,7.15031739e+05
9.20,7.10580379e+05
9.21,7.06161941e+05
9.22,7.01776145e+05
9.23,6.97422713e+05
9.24,6.93101370e+05
9.25,6.88811843e+05
9.26,6.84553863e+05
9.27,6.80327161e+05
9.28,6.76131474e+05
9.29,6.71966540e+05
9.30,6.67832098e+05
9.31,6.63727891e+05
9.32,6.59653665e+05
9.33,6.55609167e+05
9.34,6.51594147e+05
9.35,6.47608358e+05
9.36,6.43651555e+05
9.37,6.39723494e+05
9.38,6.35823935e+05
9.39,6.31952640e+05
9.40,6.28109372e+05
9.41,6.24293898e+05
9.42,6.20505986e+05
9.43,6.16745406e+05
9.44,6.13011932e+05
9.45,6.09305338e+05
9.46,6.05625401e+05
9.47,6.01971901e+05
9.48,5.98344617e+05
9.49,5.94743334e+05
9.50,5.91167836e+05
9.51,5.87617912e+05
9.52,5.84093349e+05
9.53,5.80593939e+05
9.54,5.77119475e+05
9.55,5.73669753e+05
9.56,5.70244568e+05
9.57,5.66843720e+05
9.58,5.63467010e+05
9.59,5.60114240e+05
9.60,5.56785214e+05
9.61,5.53479739e+05
9.62,5.50197621e+05
9.63,5.46938672e+05
9.64,5.43702703e+05
9.65,5.40489526e+05
9.66,5.37298956e+05
9.67,5.34130811e+05
9.68,5.30984908e+05
9.69,5.27861068e+05
9.70,5.24759111e+05
9.71,5.21678862e+05
9.72,5.18620144e+05
9.73,5.15582786e+05
9.74,5.12566613e+05
9.75,5.09571456e+05
9.76,5.06597147e+05
9.77,5.03643517e+05
9.78,5.00710402e+05
9.79,4.97797635e+05
9.80,4.94905056e+05
9.81,4.92032502e+05
9.82,4.89179814e+05
9.83,4.86346833e+05
9.84,4.83533402e+05
9.85,4.80739365e+05
9.86,4.77964568e+05
9.87,4.75208859e+05
9.88,4.72472086e+05
9.89,4.69754098e+05
9.90,4.67054747e+05
9.91,4.64373887e+05
9.92,4.61711369e+05
9.93,4.59067051e+05
9.94,4.56440787e+05
9.95,4.53832437e+05
9.96,4.51241858e+05
9.97,4.48668912e+05
9.98,4.46113460e+05
9.99,4.43575365e+05
10.00,4.41054489e+05
10.01,4.38550700e+05
10.02,4.36063863e+05
10.03,4.33593846e+05
10.04,4.31140517e+05
10.05,4.28703746e+05
10.06,4.26283405e+05
10.07,4.23879365e+05
10.08,4.21491500e+05
10.09,4.19119684e+05
10.10,4.16763793e+05
10.11,4.14423703e+05
10.12,4.12099292e+05
10.13,4.09790440e+05
10.14,4.07497024e+05
10.15,4.05218927e+05
10.16,4.02956031e+05
10.17,4.00708218e+05
10.18,3.98475372e+05
10.19,3.96257378e+05
10.20,3.94054122e+05
10.21,3.91865492e+05
10.22,3.89691374e+05
10.23,3.87531659e+05
10.24,3.85386235e+05
10.25,3.83254994e+05
10.26,3.81137827e+05
10.27,3.79034628e+05
10.28,3.76945289e+05
10.29,3.74869705e+05
10.30,3.72807772e+05
10.31,3.70759386e+05
10.32,3.68724445e+05
10.33,3.66702846e+05
10.34,3.64694488e+05
10.35,3.62699271e+05
10.36,3.60717096e+05
10.37,3.58747865e+05
10.38,3.56791480e+05
10.39,3.54847843e+05
10.40,3.52916860e+05
10.41,3.50998435e+05
10.42,3.49092474e+05
10.43,3.47198883e+05
10.44,3.45317570e+05
10.45,3.43448442e+05
10.46,3.41591408e+05
10.47,3.39746378e+05
10.48,3.37913263e+05
10.49,3.36091973e+05
10.50,3.34282421e+05
10.51,3.32484519e+05
10.52,3.30698180e+05
10.53,3.28923318e+05
10.54,3.27159849e+05
10.55,3.25407688e+05
10.56,3.23666751e+05
10.57,3.21936954e+05
10.58,3.20218217e+05
10.59,3.18510456e+05
10.60,3.16813591e+05
