Angle(deg),BER
3.39,2.25424135e-03
3.40,2.24849586e-03
3.41,2.24277112e-03
3.42,2.23706716e-03
3.43,2.23138399e-03
3.44,2.22572161e-03
3.45,2.22008006e-03
3.46,2.21445933e-03
3.47,2.20885945e-03
3.48,2.20328041e-03
3.49,2.19772223e-03
3.50,2.19218491e-03
3.51,2.18666845e-03
3.52,2.18117286e-03
3.53,2.17569813e-03
3.54,2.17024426e-03
3.55,2.16481122e-03
3.56,2.15939903e-03
3.57,2.15400764e-03
3.58,2.14863706e-03
3.59,2.14328726e-03
3.60,2.13795821e-03
3.61,2.13264989e-03
3.62,2.12736226e-03
3.63,2.12209530e-03
3.64,2.11684894e-03
3.65,2.11162315e-03
3.66,2.10641786e-03
3.67,2.10123301e-03
3.68,2.09606852e-03
3.69,2.09092430e-03
3.70,2.08580027e-03
3.71,2.08069631e-03
3.72,2.07561230e-03
3.73,2.07054812e-03
3.74,2.06550363e-03
3.75,2.06047867e-03
3.76,2.05547309e-03
3.77,2.05048671e-03
3.78,2.04551935e-03
3.79,2.04057082e-03
3.80,2.03564092e-03
3.81,2.03072945e-03
3.82,2.02583625e-03
3.83,2.02096130e-03
3.84,2.01610461e-03
3.85,2.01126619e-03
3.86,2.00644603e-03
3.87,2.00164414e-03
3.88,1.99686049e-03
3.89,1.99209505e-03
3.90,1.98734777e-03
3.91,1.98261860e-03
3.92,1.97790745e-03
3.93,1.97321423e-03
3.94,1.96853882e-03
3.95,1.96388109e-03
3.96,1.95924088e-03
3.97,1.95461801e-03
3.98,1.95001228e-03
3.99,1.94542347e-03
4.00,1.94085134e-03
4.01,1.93629563e-03
4.02,1.93175605e-03
4.03,1.92723231e-03
4.04,1.92272408e-03
4.05,1.91823104e-03
4.06,1.91375284e-03
4.07,1.90928913e-03
4.08,1.90483957e-03
4.09,1.90040391e-03
4.10,1.89598222e-03
4.11,1.89157471e-03
4.12,1.88718157e-03
4.13,1.88280299e-03
4.14,1.87843915e-03
4.15,1.87409021e-03
4.16,1.86975630e-03
4.17,1.86543754e-03
4.18,1.86113404e-03
4.19,1.85684587e-03
4.20,1.85257307e-03
4.21,1.84831565e-03
4.22,1.84407360e-03
4.23,1.83984689e-03
4.24,1.83563542e-03
4.25,1.83143910e-03
4.26,1.82725778e-03
4.27,1.82309129e-03
4.28,1.81893943e-03
4.29,1.81480195e-03
4.30,1.81067860e-03
4.31,1.80656907e-03
4.32,1.80247304e-03
4.33,1.79839016e-03
4.34,1.79432007e-03
4.35,1.79026237e-03
4.36,1.78621665e-03
4.37,1.78218249e-03
4.38,1.77815947e-03
4.39,1.77414715e-03
4.40,1.77014526e-03
4.41,1.76615392e-03
4.42,1.76217353e-03
4.43,1.75820449e-03
4.44,1.75424721e-03
4.45,1.75030209e-03
4.46,1.74636950e-03
4.47,1.74244979e-03
4.48,1.73854330e-03
4.49,1.73465033e-03
4.50,1.73077115e-03
4.51,1.72690601e-03
4.52,1.72305511e-03
4.53,1.71921864e-03
4.54,1.71539673e-03
4.55,1.71158949e-03
4.56,1.70779698e-03
4.57,1.70401922e-03
4.58,1.70025620e-03
4.59,1.69650787e-03
4.60,1.69277413e-03
4.61,1.68905485e-03
4.62,1.68534986e-03
4.63,1.68165895e-03
4.64,1.67798188e-03
4.65,1.67431836e-03
4.66,1.67066809e-03
4.67,1.66703072e-03
4.68,1.66340589e-03
4.69,1.65979318e-03
4.70,1.65619219e-03
4.71,1.65260247e-03
4.72,1.64902356e-03
4.73,1.64545501e-03
4.74,1.64189634e-03
4.75,1.63834708e-03
4.76,1.63480687e-03
4.77,1.63127571e-03
4.78,1.62775399e-03
4.79,1.62424220e-03
4.80,1.62074082e-03
4.81,1.61725033e-03
4.82,1.61377120e-03
4.83,1.61030387e-03
4.84,1.60684877e-03
4.85,1.60340629e-03
4.86,1.59997680e-03
4.87,1.59656064e-03
4.88,1.59315810e-03
4.89,1.58976946e-03
4.90,1.58639496e-03
4.91,1.58303477e-03
4.92,1.57968906e-03
4.93,1.57635793e-03
4.94,1.57304145e-03
4.95,1.56973964e-03
4.96,1.56645248e-03
4.97,1.56317990e-03
4.98,1.55992178e-03
4.99,1.55667798e-03
5.00,1.55344829e-03
5.01,1.55023246e-03
5.02,1.54703020e-03
5.03,1.54384119e-03
5.04,1.54066504e-03
5.05,1.53750135e-03
5.06,1.53434966e-03
5.07,1.53120949e-03
5.08,1.52808031e-03
5.09,1.52496158e-03
5.10,1.52185271e-03
5.11,1.51875310e-03
5.12,1.51566212e-03
5.13,1.51257912e-03
5.14,1.50950345e-03
5.15,1.50643444e-03
5.16,1.50337141e-03
5.17,1.50031368e-03
5.18,1.49726062e-03
5.19,1.49421181e-03
5.20,1.49116733e-03
5.21,1.48812764e-03
5.22,1.48509333e-03
5.23,1.48206503e-03
5.24,1.47904334e-03
5.25,1.47602886e-03
5.26,1.47302219e-03
5.27,1.47002389e-03
5.28,1.46703450e-03
5.29,1.46405455e-03
5.30,1.46108454e-03
5.31,1.45812492e-03
5.32,1.45517613e-03
5.33,1.45223856e-03
5.34,1.44931258e-03
5.35,1.44639849e-03
5.36,1.44349659e-03
5.37,1.44060710e-03
5.38,1.43773022e-03
5.39,1.43486609e-03
5.40,1.43201481e-03
5.41,1.42917644e-03
5.42,1.42635097e-03
5.43,1.42353837e-03
5.44,1.42073854e-03
5.45,1.41795133e-03
5.46,1.41517657e-03
5.47,1.41241401e-03
5.48,1.40966336e-03
5.49,1.40692429e-03
5.50,1.40419641e-03
5.51,1.40147932e-03
5.52,1.39877252e-03
5.53,1.39607552e-03
5.54,1.39338776e-03
5.55,1.39070865e-03
5.56,1.38803755e-03
5.57,1.38537381e-03
5.58,1.38271673e-03
5.59,1.38006558e-03
5.60,1.37741962e-03
5.61,1.37477807e-03
5.62,1.37214013e-03
5.63,1.36950499e-03
5.64,1.36687184e-03
5.65,1.36423984e-03
5.66,1.36160815e-03
5.67,1.35897594e-03
5.68,1.35634237e-03
5.69,1.35370669e-03
5.70,1.35106835e-03
5.71,1.34842739e-03
5.72,1.34578422e-03
5.73,1.34313955e-03
5.74,1.34049419e-03
5.75,1.33784896e-03
5.76,1.33520469e-03
5.77,1.33256218e-03
5.78,1.32992224e-03
5.79,1.32728565e-03
5.80,1.32465318e-03
5.81,1.32202558e-03
5.82,1.31940357e-03
5.83,1.31678786e-03
5.84,1.31417910e-03
5.85,1.31157794e-03
5.86,1.30898500e-03
5.87,1.30640083e-03
5.88,1.30382598e-03
5.89,1.30126096e-03
5.90,1.29870621e-03
5.91,1.29616216e-03
5.92,1.29362919e-03
5.93,1.29110764e-03
5.94,1.28859781e-03
5.95,1.28609993e-03
5.96,1.28361422e-03
5.97,1.28114084e-03
5.98,1.27867991e-03
5.99,1.27623150e-03
6.00,1.27379563e-03
6.01,1.27137229e-03
6.02,1.26896141e-03
6.03,1.26656288e-03
6.04,1.26417657e-03
6.05,1.26180226e-03
6.06,1.25943973e-03
6.07,1.25708869e-03
6.08,1.25474883e-03
6.09,1.25241979e-03
6.10,1.25010116e-03
6.11,1.24779251e-03
6.12,1.24549338e-03
6.13,1.24320325e-03
6.14,1.24092158e-03
6.15,1.23864781e-03
6.16,1.23638133e-03
6.17,1.23412152e-03
6.18,1.23186772e-03
6.19,1.22961926e-03
6.20,1.22737545e-03
6.21,1.22513556e-03
6.22,1.22289887e-03
6.23,1.22066464e-03
6.24,1.21843211e-03
6.25,1.21620052e-03
6.26,1.21396910e-03
6.27,1.21173709e-03
6.28,1.20950373e-03
6.29,1.20726825e-03
6.30,1.20502992e-03
6.31,1.20278803e-03
6.32,1.20054209e-03
6.33,1.19829203e-03
6.34,1.19603807e-03
6.35,1.19378072e-03
6.36,1.19152068e-03
6.37,1.18925872e-03
6.38,1.18699565e-03
6.39,1.18473227e-03
6.40,1.18246938e-03
6.41,1.18020779e-03
6.42,1.17794828e-03
6.43,1.17569163e-03
6.44,1.17343861e-03
6.45,1.17118995e-03
6.46,1.16894639e-03
6.47,1.16670865e-03
6.48,1.16447741e-03
6.49,1.16225334e-03
6.50,1.16003709e-03
6.51,1.15782927e-03
6.52,1.15563047e-03
6.53,1.15344125e-03
6.54,1.15126216e-03
6.55,1.14909369e-03
6.56,1.14693631e-03
6.57,1.14479048e-03
6.58,1.14265659e-03
6.59,1.14053502e-03
6.60,1.13842612e-03
6.61,1.13633019e-03
6.62,1.13424752e-03
6.63,1.13217833e-03
6.64,1.13012285e-03
6.65,1.12808124e-03
6.66,1.12605365e-03
6.67,1.12404018e-03
6.68,1.12204090e-03
6.69,1.12005584e-03
6.70,1.11808503e-03
6.71,1.11612842e-03
6.72,1.11418596e-03
6.73,1.11225755e-03
6.74,1.11034307e-03
6.75,1.10844236e-03
6.76,1.10655523e-03
6.77,1.10468146e-03
6.78,1.10282080e-03
6.79,1.10097297e-03
6.80,1.09913764e-03
6.81,1.09731450e-03
6.82,1.09550315e-03
6.83,1.09370322e-03
6.84,1.09191427e-03
6.85,1.09013586e-03
6.86,1.08836751e-03
6.87,1.08660873e-03
6.88,1.08485899e-03
6.89,1.08311776e-03
6.90,1.08138447e-03
6.91,1.07965854e-03
6.92,1.07793938e-03
6.93,1.07622636e-03
6.94,1.07451886e-03
6.95,1.07281623e-03
6.96,1.07111783e-03
6.97,1.06942298e-03
6.98,1.06773102e-03
6.99,1.06604126e-03
7.00,1.06435303e-03
7.01,1.06266564e-03
7.02,1.06097840e-03
7.03,1.05929064e-03
7.04,1.05760167e-03
7.05,1.05591082e-03
7.06,1.05421744e-03
7.07,1.05252087e-03
7.08,1.05082052e-03
7.09,1.04911593e-03
7.10,1.04740695e-03
7.11,1.04569362e-03
7.12,1.04397621e-03
7.13,1.04225516e-03
7.14,1.04053101e-03
7.15,1.03880443e-03
7.16,1.03707612e-03
7.17,1.03534678e-03
7.18,1.03361715e-03
7.19,1.03188795e-03
7.20,1.03015989e-03
7.21,1.02843369e-03
7.22,1.02671007e-03
7.23,1.02498971e-03
7.24,1.02327331e-03
7.25,1.02156153e-03
7.26,1.01985505e-03
7.27,1.01815450e-03
7.28,1.01646050e-03
7.29,1.01477367e-03
7.30,1.01309458e-03
7.31,1.01142380e-03
7.32,1.00976188e-03
7.33,1.00810932e-03
7.34,1.00646661e-03
7.35,1.00483423e-03
7.36,1.00321260e-03
7.37,1.00160212e-03
7.38,1.00000319e-03
7.39,9.98416148e-04
7.40,9.96841310e-04
7.41,9.95278967e-04
7.42,9.93729376e-04
7.43,9.92192763e-04
7.44,9.90669325e-04
7.45,9.89159227e-04
7.46,9.87662602e-04
7.47,9.86179557e-04
7.48,9.84710165e-04
7.49,9.83254473e-04
7.50,9.81812499e-04
7.51,9.80384233e-04
7.52,9.78969640e-04
7.53,9.77568663e-04
7.54,9.76181228e-04
7.55,9.74807274e-04
7.56,9.73446770e-04
7.57,9.72099718e-04
7.58,9.70766139e-04
7.59,9.69446066e-04
7.60,9.68139535e-04
7.61,9.66846581e-04
7.62,9.65567232e-04
7.63,9.64301499e-04
7.64,9.63049368e-04
7.65,9.61810800e-04
7.66,9.60585724e-04
7.67,9.59374041e-04
7.68,9.58175621e-04
7.69,9.56990302e-04
7.70,9.55817889e-04
7.71,9.54658157e-04
7.72,9.53510846e-04
7.73,9.52375663e-04
7.74,9.51252283e-04
7.75,9.50140347e-04
7.76,9.49039460e-04
7.77,9.47949198e-04
7.78,9.46869100e-04
7.79,9.45798673e-04
7.80,9.44737390e-04
7.81,9.43684693e-04
7.82,9.42639988e-04
7.83,9.41602653e-04
7.84,9.40572029e-04
7.85,9.39547430e-04
7.86,9.38528137e-04
7.87,9.37513401e-04
7.88,9.36502442e-04
7.89,9.35494455e-04
7.90,9.34488604e-04
7.91,9.33484028e-04
7.92,9.32479840e-04
7.93,9.31475130e-04
7.94,9.30468965e-04
7.95,9.29460391e-04
7.96,9.28448436e-04
7.97,9.27432113e-04
7.98,9.26410417e-04
7.99,9.25382335e-04
8.00,9.24346840e-04
8.01,9.23302901e-04
8.02,9.22249480e-04
8.03,9.21185541e-04
8.04,9.20110056e-04
8.05,9.19022022e-04
8.06,9.17920496e-04
8.07,9.16804687e-04
8.08,9.15674121e-04
8.09,9.14528643e-04
8.10,9.13368370e-04
8.11,9.12193654e-04
8.12,9.11005038e-04
8.13,9.09803227e-04
8.14,9.08589056e-04
8.15,9.07363470e-04
8.16,9.06127502e-04
8.17,9.04882235e-04
8.18,9.03628764e-04
8.19,9.02368186e-04
8.20,9.01101593e-04
8.21,8.99830064e-04
8.22,8.98554659e-04
8.23,8.97276423e-04
8.24,8.95996378e-04
8.25,8.94715522e-04
8.26,8.93434829e-04
8.27,8.92155245e-04
8.28,8.90877688e-04
8.29,8.89603046e-04
8.30,8.88332176e-04
8.31,8.87065904e-04
8.32,8.85805019e-04
8.33,8.84550281e-04
8.34,8.83302412e-04
8.35,8.82062098e-04
8.36,8.80829991e-04
8.37,8.79606705e-04
8.38,8.78392814e-04
8.39,8.77188858e-04
8.40,8.75995334e-04
8.41,8.74812702e-04
8.42,8.73641382e-04
8.43,8.72481751e-04
8.44,8.71334149e-04
8.45,8.70198874e-04
8.46,8.69076180e-04
8.47,8.67966284e-04
8.48,8.66869359e-04
8.49,8.65785538e-04
8.50,8.64714913e-04
8.51,8.63657534e-04
8.52,8.62613412e-04
8.53,8.61582519e-04
8.54,8.60564786e-04
8.55,8.59560107e-04
8.56,8.58568336e-04
8.57,8.57589294e-04
8.58,8.56622762e-04
8.59,8.55668489e-04
8.60,8.54726192e-04
8.61,8.53795556e-04
8.62,8.52876239e-04
8.63,8.51967875e-04
8.64,8.51070077e-04
8.65,8.50182451e-04
8.66,8.49304610e-04
8.67,8.48436225e-04
8.68,8.47577085e-04
8.69,8.46727099e-04
8.70,8.45886280e-04
8.71,8.45054724e-04
8.72,8.44232595e-04
8.73,8.43420111e-04
8.74,8.42617533e-04
8.75,8.41825154e-04
8.76,8.41043291e-04
8.77,8.40272278e-04
8.78,8.39512454e-04
8.79,8.38764155e-04
8.80,8.38027695e-04
8.81,8.37303367e-04
8.82,8.36591429e-04
8.83,8.35892111e-04
8.84,8.35205608e-04
8.85,8.34532079e-04
8.86,8.33871646e-04
8.87,8.33224395e-04
8.88,8.32590374e-04
8.89,8.31969593e-04
8.90,8.31362021e-04
8.91,8.30767593e-04
8.92,8.30186199e-04
8.93,8.29617696e-04
8.94,8.29061897e-04
8.95,8.28518579e-04
8.96,8.27987480e-04
8.97,8.27468298e-04
8.98,8.26960696e-04
8.99,8.26464295e-04
9.00,8.25978680e-04
9.01,8.25503400e-04
9.02,8.25037963e-04
9.03,8.24581844e-04
9.04,8.24134479e-04
9.05,8.23695267e-04
9.06,8.23263574e-04
9.07,8.22838726e-04
9.08,8.22420018e-04
9.09,8.22006706e-04
9.10,8.21598013e-04
9.11,8.21193127e-04
9.12,8.20791204e-04
9.13,8.20391363e-04
9.14,8.19992693e-04
9.15,8.19594250e-04
9.16,8.19195058e-04
9.17,8.18794112e-04
9.18,8.18390376e-04
9.19,8.17982786e-04
9.20,8.17570249e-04
9.21,8.17151646e-04
9.22,8.16725832e-04
9.23,8.16291637e-04
9.24,8.15847866e-04
9.25,8.15393304e-04
9.26,8.14926714e-04
9.27,8.14446843e-04
9.28,8.13952422e-04
9.29,8.13442167e-04
9.30,8.12914787e-04
9.31,8.12368988e-04
9.32,8.11803475e-04
9.33,8.11216967e-04
9.34,8.10608218e-04
9.35,8.09976045e-04
9.36,8.09319393e-04
9.37,8.08637467e-04
9.38,8.07929783e-04
9.39,8.07196136e-04
9.40,8.06436566e-04
9.41,8.05651329e-04
9.42,8.04840871e-04
9.43,8.04005795e-04
9.44,8.03146845e-04
9.45,8.02264886e-04
9.46,8.01360891e-04
9.47,8.00435920e-04
9.48,7.99491109e-04
9.49,7.98527662e-04
9.50,7.97546835e-04
9.51,7.96549922e-04
9.52,7.95538234e-04
9.53,7.94513077e-04
9.54,7.93475754e-04
9.55,7.92427547e-04
9.56,7.91369722e-04
9.57,7.90303520e-04
9.58,7.89230159e-04
9.59,7.88150829e-04
9.60,7.87066690e-04
9.61,7.85978874e-04
9.62,7.84888481e-04
9.63,7.83796578e-04
9.64,7.82704200e-04
9.65,7.81612350e-04
9.66,7.80521996e-04
9.67,7.79434071e-04
9.68,7.78349474e-04
9.69,7.77269070e-04
9.70,7.76193688e-04
9.71,7.75124123e-04
9.72,7.74061134e-04
9.73,7.73005445e-04
9.74,7.71957747e-04
9.75,7.70918694e-04
9.76,7.69888905e-04
9.77,7.68868967e-04
9.78,7.67859431e-04
9.79,7.66860814e-04
9.80,7.65873598e-04
9.81,7.64898233e-04
9.82,7.63935135e-04
9.83,7.62984685e-04
9.84,7.62047234e-04
9.85,7.61123097e-04
9.86,7.60212556e-04
9.87,7.59315863e-04
9.88,7.58433235e-04
9.89,7.57564857e-04
9.90,7.56710884e-04
9.91,7.55871436e-04
9.92,7.55046600e-04
9.93,7.54236432e-04
9.94,7.53440949e-04
9.95,7.52660136e-04
9.96,7.51893939e-04
9.97,7.51142271e-04
9.98,7.50405005e-04
9.99,7.49681978e-04
10.00,7.48972989e-04
10.01,7.48277801e-04
10.02,7.47596137e-04
10.03,7.46927685e-04
10.04,7.46272097e-04
10.05,7.45628988e-04
10.06,7.44997939e-04
10.07,7.44378497e-04
10.08,7.43770179e-04
10.09,7.43172468e-04
10.10,7.42584822e-04
10.11,7.42006673e-04
10.12,7.41437431e-04
10.13,7.40876488e-04
10.14,7.40323227e-04
10.15,7.39777030e-04
10.16,7.39237295e-04
10.17,7.38703466e-04
10.18,7.38175083e-04
10.19,7.37651822e-04
10.20,7.37133486e-04
10.21,7.36619994e-04
10.22,7.36111364e-04
10.23,7.35607695e-04
10.24,7.35109165e-04
10.25,7.34616013e-04
10.26,7.34128532e-04
10.27,7.33647064e-04
10.28,7.33171986e-04
10.29,7.32703710e-04
10.30,7.32242672e-04
10.31,7.31789330e-04
10.32,7.31344158e-04
10.33,7.30907639e-04
10.34,7.30480267e-04
10.35,7.30062539e-04
10.36,7.29654952e-04
10.37,7.29257996e-04
10.38,7.28872151e-04
10.39,7.28497876e-04
10.40,7.28135615e-04
10.41,7.27785790e-04
10.42,7.27448803e-04
10.43,7.27125034e-04
10.44,7.26814845e-04
10.45,7.26518575e-04
10.46,7.26236544e-04
10.47,7.25969053e-04
10.48,7.25716385e-04
10.49,7.25478802e-04
10.50,7.25256545e-04
10.51,7.25049829e-04
10.52,7.24858840e-04
10.53,7.24683735e-04
10.54,7.24524639e-04
10.55,7.24381643e-04
10.56,7.24254808e-04
10.57,7.24144155e-04
10.58,7.24049676e-04
10.59,7.23971322e-04
10.60,7.23909013e-04
10.61,7.23862630e-04
10.62,7.23832019e-04
10.63,7.23816991e-04
10.64,7.23817319e-04
10.65,7.23832742e-04
10.66,7.23862961e-04
10.67,7.23907643e-04
10.68,7.23966418e-04
10.69,7.24038880e-04
10.70,7.24124588e-04
10.71,7.24223062e-04
10.72,7.24333791e-04
10.73,7.24456222e-04
