Angle(deg),BER_Bound_Eq70
4.25,4.58509304e-02
4.26,4.52147461e-02
4.27,4.45888758e-02
4.28,4.39731285e-02
4.29,4.33673172e-02
4.30,4.27712585e-02
4.31,4.21847733e-02
4.32,4.16076858e-02
4.33,4.10398240e-02
4.34,4.04810193e-02
4.35,3.99311068e-02
4.36,3.93899247e-02
4.37,3.88573147e-02
4.38,3.83331217e-02
4.39,3.78171936e-02
4.40,3.73093816e-02
4.41,3.68095398e-02
4.42,3.63175253e-02
4.43,3.58331979e-02
4.44,3.53564205e-02
4.45,3.48870586e-02
4.46,3.44249803e-02
4.47,3.39700566e-02
4.48,3.35221608e-02
4.49,3.30811688e-02
4.50,3.26469591e-02
4.51,3.22194125e-02
4.52,3.17984120e-02
4.53,3.13838432e-02
4.54,3.09755937e-02
4.55,3.05735536e-02
4.56,3.01776147e-02
4.57,2.97876714e-02
4.58,2.94036198e-02
4.59,2.90253583e-02
4.60,2.86527870e-02
4.61,2.82858081e-02
4.62,2.79243257e-02
4.63,2.75682457e-02
4.64,2.72174757e-02
4.65,2.68719253e-02
4.66,2.65315057e-02
4.67,2.61961299e-02
4.68,2.58657123e-02
4.69,2.55401692e-02
4.70,2.52194184e-02
4.71,2.49033793e-02
4.72,2.45919728e-02
4.73,2.42851211e-02
4.74,2.39827482e-02
4.75,2.36847793e-02
4.76,2.33911412e-02
4.77,2.31017617e-02
4.78,2.28165704e-02
4.79,2.25354979e-02
4.80,2.22584762e-02
4.81,2.19854386e-02
4.82,2.17163196e-02
4.83,2.14510549e-02
4.84,2.11895813e-02
4.85,2.09318369e-02
4.86,2.06777609e-02
4.87,2.04272936e-02
4.88,2.01803765e-02
4.89,1.99369518e-02
4.90,1.96969633e-02
4.91,1.94603554e-02
4.92,1.92270736e-02
4.93,1.89970645e-02
4.94,1.87702756e-02
4.95,1.85466554e-02
4.96,1.83261532e-02
4.97,1.81087193e-02
4.98,1.78943049e-02
4.99,1.76828620e-02
5.00,1.74743435e-02
5.01,1.72687032e-02
5.02,1.70658957e-02
5.03,1.68658763e-02
5.04,1.66686011e-02
5.05,1.64740272e-02
5.06,1.62821122e-02
5.07,1.60928146e-02
5.08,1.59060935e-02
5.09,1.57219088e-02
5.10,1.55402211e-02
5.11,1.53609918e-02
5.12,1.51841827e-02
5.13,1.50097565e-02
5.14,1.48376764e-02
5.15,1.46679064e-02
5.16,1.45004109e-02
5.17,1.43351552e-02
5.18,1.41721049e-02
5.19,1.40112264e-02
5.20,1.38524866e-02
5.21,1.36958530e-02
5.22,1.35412936e-02
5.23,1.33887770e-02
5.24,1.32382723e-02
5.25,1.30897491e-02
5.26,1.29431776e-02
5.27,1.27985285e-02
5.28,1.26557729e-02
5.29,1.25148824e-02
5.30,1.23758292e-02
5.31,1.22385859e-02
5.32,1.21031254e-02
5.33,1.19694214e-02
5.34,1.18374478e-02
5.35,1.17071788e-02
5.36,1.15785894e-02
5.37,1.14516548e-02
5.38,1.13263506e-02
5.39,1.12026528e-02
5.40,1.10805378e-02
5.41,1.09599826e-02
5.42,1.08409643e-02
5.43,1.07234604e-02
5.44,1.06074490e-02
5.45,1.04929083e-02
5.46,1.03798170e-02
5.47,1.02681541e-02
5.48,1.01578989e-02
5.49,1.00490313e-02
5.50,9.94153105e-03
5.51,9.83537865e-03
5.52,9.73055473e-03
5.53,9.62704026e-03
5.54,9.52481652e-03
5.55,9.42386509e-03
5.56,9.32416784e-03
5.57,9.22570694e-03
5.58,9.12846485e-03
5.59,9.03242428e-03
5.60,8.93756827e-03
5.61,8.84388007e-03
5.62,8.75134324e-03
5.63,8.65994157e-03
5.64,8.56965913e-03
5.65,8.48048024e-03
5.66,8.39238944e-03
5.67,8.30537155e-03
5.68,8.21941161e-03
5.69,8.13449488e-03
5.70,8.05060689e-03
5.71,7.96773336e-03
5.72,7.88586024e-03
5.73,7.80497372e-03
5.74,7.72506018e-03
5.75,7.64610623e-03
5.76,7.56809867e-03
5.77,7.49102451e-03
5.78,7.41487097e-03
5.79,7.33962546e-03
5.80,7.26527559e-03
5.81,7.19180914e-03
5.82,7.11921410e-03
5.83,7.04747864e-03
5.84,6.97659110e-03
5.85,6.90654001e-03
5.86,6.83731406e-03
5.87,6.76890213e-03
5.88,6.70129325e-03
5.89,6.63447664e-03
5.90,6.56844165e-03
5.91,6.50317783e-03
5.92,6.43867486e-03
5.93,6.37492258e-03
5.94,6.31191098e-03
5.95,6.24963022e-03
5.96,6.18807058e-03
5.97,6.12722251e-03
5.98,6.06707658e-03
5.99,6.00762352e-03
6.00,5.94885418e-03
6.01,5.89075956e-03
6.02,5.83333078e-03
6.03,5.77655912e-03
6.04,5.72043595e-03
6.05,5.66495279e-03
6.06,5.61010129e-03
6.07,5.55587320e-03
6.08,5.50226041e-03
