Angle(deg),BER
8.59,8.48537171e-06
8.60,8.46743432e-06
8.61,8.44955670e-06
8.62,8.43173860e-06
8.63,8.41397975e-06
8.64,8.39627990e-06
8.65,8.37863879e-06
8.66,8.36105616e-06
8.67,8.34353177e-06
8.68,8.32606536e-06
8.69,8.30865667e-06
8.70,8.29130547e-06
8.71,8.27401150e-06
8.72,8.25677451e-06
8.73,8.23959426e-06
8.74,8.22247051e-06
8.75,8.20540301e-06
8.76,8.18839152e-06
8.77,8.17143580e-06
8.78,8.15453561e-06
8.79,8.13769071e-06
8.80,8.12090087e-06
8.81,8.10416586e-06
8.82,8.08748543e-06
8.83,8.07085935e-06
8.84,8.05428740e-06
8.85,8.03776934e-06
8.86,8.02130494e-06
8.87,8.00489398e-06
8.88,7.98853623e-06
8.89,7.97223146e-06
8.90,7.95597945e-06
8.91,7.93977998e-06
8.92,7.92363282e-06
8.93,7.90753775e-06
8.94,7.89149456e-06
8.95,7.87550302e-06
8.96,7.85956291e-06
8.97,7.84367403e-06
8.98,7.82783616e-06
8.99,7.81204907e-06
9.00,7.79631256e-06
9.01,7.78062642e-06
9.02,7.76499044e-06
9.03,7.74940440e-06
9.04,7.73386810e-06
9.05,7.71838133e-06
9.06,7.70294388e-06
9.07,7.68755555e-06
9.08,7.67221614e-06
9.09,7.65692544e-06
9.10,7.64168324e-06
9.11,7.62648935e-06
9.12,7.61134357e-06
9.13,7.59624570e-06
9.14,7.58119554e-06
9.15,7.56619289e-06
9.16,7.55123755e-06
9.17,7.53632934e-06
9.18,7.52146806e-06
9.19,7.50665351e-06
9.20,7.49188550e-06
9.21,7.47716384e-06
9.22,7.46248835e-06
9.23,7.44785883e-06
9.24,7.43327509e-06
9.25,7.41873694e-06
9.26,7.40424421e-06
9.27,7.38979670e-06
9.28,7.37539424e-06
9.29,7.36103662e-06
9.30,7.34672369e-06
9.31,7.33245524e-06
9.32,7.31823111e-06
9.33,7.30405111e-06
9.34,7.28991506e-06
9.35,7.27582278e-06
9.36,7.26177411e-06
9.37,7.24776885e-06
9.38,7.23380684e-06
9.39,7.21988790e-06
9.40,7.20601186e-06
9.41,7.19217855e-06
9.42,7.17838779e-06
9.43,7.16463941e-06
9.44,7.15093324e-06
9.45,7.13726911e-06
9.46,7.12364686e-06
9.47,7.11006631e-06
9.48,7.09652731e-06
9.49,7.08302968e-06
9.50,7.06957325e-06
9.51,7.05615787e-06
9.52,7.04278337e-06
9.53,7.02944959e-06
9.54,7.01615636e-06
9.55,7.00290353e-06
9.56,6.98969093e-06
9.57,6.97651840e-06
9.58,6.96338579e-06
9.59,6.95029294e-06
9.60,6.93723969e-06
9.61,6.92422589e-06
9.62,6.91125137e-06
9.63,6.89831598e-06
9.64,6.88541958e-06
9.65,6.87256199e-06
9.66,6.85974309e-06
9.67,6.84696270e-06
9.68,6.83422068e-06
9.69,6.82151689e-06
9.70,6.80885116e-06
9.71,6.79622335e-06
9.72,6.78363332e-06
9.73,6.77108091e-06
9.74,6.75856598e-06
9.75,6.74608838e-06
9.76,6.73364797e-06
9.77,6.72124459e-06
9.78,6.70887812e-06
9.79,6.69654840e-06
9.80,6.68425529e-06
9.81,6.67199866e-06
9.82,6.65977835e-06
9.83,6.64759423e-06
9.84,6.63544615e-06
9.85,6.62333399e-06
9.86,6.61125759e-06
9.87,6.59921683e-06
9.88,6.58721157e-06
9.89,6.57524166e-06
9.90,6.56330697e-06
9.91,6.55140737e-06
9.92,6.53954273e-06
9.93,6.52771290e-06
9.94,6.51591776e-06
9.95,6.50415717e-06
9.96,6.49243100e-06
9.97,6.48073912e-06
9.98,6.46908139e-06
9.99,6.45745770e-06
10.00,6.44586790e-06
10.01,6.43431187e-06
10.02,6.42278949e-06
10.03,6.41130061e-06
10.04,6.39984512e-06
10.05,6.38842289e-06
10.06,6.37703380e-06
10.07,6.36567771e-06
10.08,6.35435450e-06
10.09,6.34306406e-06
10.10,6.33180625e-06
10.11,6.32058095e-06
10.12,6.30938804e-06
10.13,6.29822739e-06
10.14,6.28709890e-06
10.15,6.27600243e-06
10.16,6.26493786e-06
10.17,6.25390508e-06
10.18,6.24290397e-06
10.19,6.23193440e-06
10.20,6.22099627e-06
10.21,6.21008944e-06
10.22,6.19921382e-06
10.23,6.18836927e-06
10.24,6.17755568e-06
10.25,6.16677295e-06
10.26,6.15602094e-06
10.27,6.14529956e-06
10.28,6.13460868e-06
10.29,6.12394820e-06
10.30,6.11331799e-06
10.31,6.10271795e-06
10.32,6.09214797e-06
10.33,6.08160793e-06
10.34,6.07109773e-06
10.35,6.06061725e-06
10.36,6.05016639e-06
10.37,6.03974503e-06
10.38,6.02935307e-06
10.39,6.01899039e-06
10.40,6.00865690e-06
10.41,5.99835249e-06
10.42,5.98807704e-06
10.43,5.97783045e-06
10.44,5.96761262e-06
10.45,5.95742344e-06
10.46,5.94726280e-06
10.47,5.93713061e-06
10.48,5.92702676e-06
10.49,5.91695114e-06
10.50,5.90690365e-06
10.51,5.89688420e-06
10.52,5.88689267e-06
10.53,5.87692897e-06
10.54,5.86699299e-06
10.55,5.85708464e-06
10.56,5.84720381e-06
10.57,5.83735041e-06
10.58,5.82752434e-06
10.59,5.81772549e-06
10.60,5.80795378e-06
10.61,5.79820909e-06
10.62,5.78849134e-06
10.63,5.77880043e-06
10.64,5.76913626e-06
10.65,5.75949873e-06
10.66,5.74988776e-06
10.67,5.74030324e-06
10.68,5.73074507e-06
10.69,5.72121317e-06
10.70,5.71170745e-06
10.71,5.70222780e-06
10.72,5.69277413e-06
10.73,5.68334636e-06
